Photo_ID,Room_ID,Student_ID,Timestamp,Cleanliness_Level,Image_Path,Lighting_Condition,Detected_Items,Image_Features
A1.jpg,R22,Student018,04-03-2024 00:00,Average,/images/A1.jpg,Night,"Chair, Desk, Dustbin","[0.37, 0.95, 0.73, 0.6, 0.16]"
A2.jpg,R22,Student012,05-03-2024 00:00,Dirty,/images/A2.jpg,Night,"Clutter, Desk, Bed","[0.16, 0.06, 0.87, 0.6, 0.71]"
A3.jpg,R47,Student028,06-03-2024 00:00,Average,/images/A3.jpg,Daylight,"Desk, Clutter, Dustbin","[0.02, 0.97, 0.83, 0.21, 0.18]"
A4.jpg,R7,Student006,07-03-2024 00:00,Dirty,/images/A4.jpg,Night,"Clutter, Chair, Desk","[0.18, 0.3, 0.52, 0.43, 0.29]"
A5.jpg,R46,Student028,08-03-2024 00:00,Dirty,/images/A5.jpg,Night,"Clutter, Chair, Bed","[0.61, 0.14, 0.29, 0.37, 0.46]"
A6.jpg,R47,Student023,09-03-2024 00:00,Average,/images/A6.jpg,Night,"Bed, Desk, Clutter","[0.79, 0.2, 0.51, 0.59, 0.05]"
A7.jpg,R41,Student026,10-03-2024 00:00,Dirty,/images/A7.jpg,Daylight,"Bed, Dustbin, Clutter","[0.61, 0.17, 0.07, 0.95, 0.97]"
A8.jpg,R44,Student029,11-03-2024 00:00,Clean,/images/A8.jpg,Daylight,"Dustbin, Clutter, Desk","[0.81, 0.3, 0.1, 0.68, 0.44]"
A9.jpg,R25,Student037,12-03-2024 00:00,Dirty,/images/A9.jpg,Daylight,"Chair, Clutter, Dustbin","[0.12, 0.5, 0.03, 0.91, 0.26]"
A10.jpg,R29,Student049,13-03-2024 00:00,Dirty,/images/A10.jpg,Daylight,"Desk, Clutter, Dustbin","[0.66, 0.31, 0.52, 0.55, 0.18]"
A11.jpg,R21,Student042,14-03-2024 00:00,Clean,/images/A11.jpg,Daylight,"Bed, Dustbin, Chair","[0.97, 0.78, 0.94, 0.89, 0.6]"
A12.jpg,R34,Student025,15-03-2024 00:00,Clean,/images/A12.jpg,Night,"Clutter, Chair, Bed","[0.92, 0.09, 0.2, 0.05, 0.33]"
A13.jpg,R40,Student019,16-03-2024 00:00,Average,/images/A13.jpg,Daylight,"Bed, Dustbin, Desk","[0.39, 0.27, 0.83, 0.36, 0.28]"
A14.jpg,R29,Student012,17-03-2024 00:00,Average,/images/A14.jpg,Daylight,"Clutter, Desk, Chair","[0.54, 0.14, 0.8, 0.07, 0.99]"
A15.jpg,R5,Student036,18-03-2024 00:00,Average,/images/A15.jpg,Night,"Dustbin, Desk, Chair","[0.77, 0.2, 0.01, 0.82, 0.71]"
